"APOGEE_ID","cluster"
"2M16234899-2629191",1
"2M00225174-7214375",2
"2M13252028-4714003",3
"2M13252455-4727117",3
"2M13262875-4732028",4
"2M18133324-3150194",1
"2M13254785-4728443",5
"2M12391700-2645385",5
"2M17404671-5347497",4
"2M16413200+3628299",6
"2M13274361-4732470",3
"2M19400052-3059547",4
"2M00231184-7158283",2
"2M13261324-4717578",3
"2M13271705-4724065",3
"2M13255187-4715351",3
"2M13274499-4722402",7
"2M13260080-4735131",5
"2M13261351-4727088",8
"2M13260158-4733060",6
"2M13275553-4724067",4
"2M13263500-4729251",5
"2M13263210-4720118",5
"2M13260543-4717515",3
"2M13252191-4720591",4
"2M18363324-2355445",3
"2M17362537-4444033",6
"2M19111132-6001077",7
"2M18361724-2354114",4
"2M06490382-3600299",5
"2M00213726-7203389",2
"2M19535794+1849535",2
"2M13420842+2823041",7
"2M10181579-4621512",6
"2M16232141-2628335",1
"2M13270118-4720409",1
"2M13162073+1741059",4
"2M10174650-4627172",5
"2M18362302-2349299",5
"2M00223046-7210432",2
"2M13273772-4725175",1
"2M13260538-4732203",4
"2M00250679-7203153",2
"2M13272388-4716409",3
"2M18371630-2359254",3
"2M18360136-2358051",5
"2M13262176-4731222",1
"2M19535150+1848059",2
"2M18351361-2348237",4
"2M10174489-4624064",7
"2M19532169+1848015",2
"2M09121256-6456245",7
"2M21295572+1211338",4
"2M16221619-2636115",1
"2M13252619-4730521",3
"2M13271156-4722009",5
"2M17170033+4311478",5
"2M10180421-4621147",7
"2M00225689-7207417",2
"2M05240960-2430265",7
"2M13270168-4735094",8
"2M19400303-3052192",5
"2M13270749-4723410",3
"2M13425083+2827576",7
"2M13250065-4728265",3
"2M13271836-4736504",3
"2M13260274-4725084",8
"2M10174292-4622483",6
"2M13262974-4725184",8
"2M13263191-4724278",4
"2M13255205-4736572",4
"2M00244515-7159451",2
"2M13261408-4726354",5
"2M17313165-3949120",4
"2M13274186-4713226",3
"2M13255879-4729212",1
"2M16233144-2630247",1
"2M16234091-2637234",1
"2M13265793-4733553",5
"2M18364261-2350524",4
"2M17023481-2617152",4
"2M13264631-4747334",3
"2M13274500-4739417",8
"2M13254667-4722158",3
"2M00231074-7159158",2
"2M13274574-4730146",3
"2M19110434-5954152",5
"2M10173618-4630587",7
"2M05141724-4002080",7
"2M01033841-7052047",7
"2M18371612-2405007",3
"2M15182924+0202063",6
"2M19103868-5958568",4
"2M13272297-4725187",4
"2M13124082+1811099",4
"2M10172578-4621366",3
"2M13260591-4723002",8
"2M13274135-4719134",4
"2M13265515-4722403",8
"2M09115707-6451296",6
"2M13414871+2820024",4
"2M13270960-4720514",4
"2M16235015-2632194",1
"2M19110303-6001489",4
"2M00215813-7158147",2
"2M17303796-3135329",4
"2M09121664-6452028",7
"2M13242573-4725164",5
"2M16470347-0158135",1
"2M13264907-4732279",4
"2M09105058-6454059",6
"2M13415816+2815518",6
"2M05135883-4003363",2
"2M13265160-4728036",5
"2M13264741-4734452",8
"2M18364731-2348494",4
"2M13260339-4733280",3
"2M18593255-3641374",1
"2M17401476-5341440",4
"2M13264421-4733572",7
"2M16421482+3627199",7
"2M16243376-2626347",1
"2M17400904-5342360",4
"2M16232611-2630402",1
"2M17362872-4445439",6
"2M00232264-7211417",2
"2M05240730-2433590",6
"2M19531442+1849431",2
"2M13264234-4727312",5
"2M16225050-2642162",1
"2M00224352-7207096",2
"2M00531493-2633524",3
"AP18360488-2407575",8
"2M13261622-4742126",8
"2M18551539-3030010",6
"2M18550103-2239422",5
"2M13261577-4725153",8
"2M18360909-2353260",3
"2M16465198-0148182",3
"2M10174666-4610124",6
"2M12395148-2651463",5
"2M16233768-2620381",1
"2M16470663-0156314",1
"2M21294862+1211457",8
"2M17311196-2958587",1
"2M16231007-2632137",1
"2M19395981-3059272",5
"2M13252233-4734503",5
"2M19111022-5959484",8
"2M09121452-6455239",6
"2M13270984-4739443",7
"2M13264135-4735290",3
"2M13272933-4737363",3
"2M13262041-4711471",4
"2M13255351-4729442",4
"2M17354244-4446197",6
"2M13260995-4723153",3
"2M15180078+0211530",6
"2M05140766-4002300",7
"2M13273185-4741204",4
"2M19094701-6004229",3
"2M10170486-4637207",7
"2M00251614-7201359",2
"2M13251946-4723332",3
"2M19392469-3055190",5
"2M19400475-3051026",4
"2M16464071-0200395",7
"2M00230028-7208413",2
"2M18550623-3030561",6
"2M19105674-5957053",6
"2M18365365-2355594",3
"2M15181075+0212356",4
"2M16413476+3627596",6
"2M13264646-4737461",3
"2M13265569-4723404",5
"2M16223337-2638041",1
"2M15181666+0159496",7
"2M16473094-0159397",3
"2M13124794+1806320",5
"2M18353525-2354433",4
"2M10185909-4634376",6
"2M13261552-4714354",3
"2M18361709-2403449",7
"2M16465650-0203074",5
"2M05241241-2431064",5
"2M00231968-7201113",2
"2M19532802+1847281",2
"2M16231122-2640444",1
"2M16405539+3635433",3
"2M00232078-7205508",2
"2M16413082+3630130",7
"2M13270973-4738459",5
"2M17434331-2610217",2
"2M13264787-4737520",3
"2M16232798-2630340",1
"2M21300316+1213286",8
"2M00232825-7207580",2
"2M16234091-2630093",1
"2M13261688-4732165",4
"2M18030009-2603567",4
"2M13254425-4724316",7
"2M13255299-4737281",3
"2M18013260-2651182",1
"2M13254864-4729035",4
"2M13263972-4721231",4
"2M18362643-2353563",5
"2M00523540-2637433",3
"2M13265413-4738413",3
"2M05240217-2431172",6
"2M15183948+0210458",5
"2M13262299-4740371",3
"2M13421546+2822499",6
"2M13270655-4718399",8
"2M19092679-6003554",4
"2M00241883-7159192",2
"2M18315518-2328466",1
"2M16471769-0159098",5
"2M13262962-4723413",6
"2M13272801-4717215",3
"2M16570778-0406059",6
"2M01024330-7048480",6
"2M19533964+1841466",2
"2M09114135-6454452",6
"2M13262643-4736438",3
"2M13262245-4723549",8
"2M13262941-4722094",4
"2M13271019-4736068",8
"2M16235228-2630252",1
"2M00244811-7158207",2
"2M13274582-4722594",4
"2M13260948-4748072",3
"2M19105638-5948053",4
"2M13264192-4740471",8
"2M13412055+2811492",7
"2M19533778+1850014",2
"2M13265528-4731438",3
"2M13263012-4726103",5
"2M13274995-4721237",3
"2M13272703-4709421",3
"2M13262204-4728282",8
"2M19400407-3058206",4
"2M09130699-6500077",6
"2M13273904-4720093",8
"2M13270111-4737535",3
"2M10162114-4613529",6
"2M00221530-7207096",2
"2M13413405+2817366",6
"2M13421435+2821228",6
"2M13271638-4723579",8
"2M00250570-7201545",2
"2M13261177-4731166",3
"2M16474219-0153063",3
"2M18353841-2348125",4
"2M13260294-4733290",1
"2M17022878-2614320",7
"2M18371745-2339203",4
"2M13270440-4720415",3
"2M18355624-2354091",3
"2M06485948-3559426",8
"2M13261643-4728305",3
"2M09120979-6448331",6
"2M16570359-0404388",5
"2M13272101-4734496",4
"2M13260217-4728484",5
"2M00233869-7201501",2
"2M18545435-3033430",6
"2M09113946-6453012",7
"2M18363817-2359061",5
"2M00522151-2632418",5
"2M13251340-4721113",4
"2M15183484+0206165",6
"2M17403885-5339252",5
"2M13265674-4720527",7
"2M13254924-4740258",5
"2M16415024+3629431",5
"2M17024032-2617400",6
"2M18362119-2359569",4
"2M18361650-2355134",4
"2M15175895+0206239",7
"2M13423316+2818484",7
"2M00525849-2630555",1
"2M18361059-2356357",3
"2M10180716-4632203",7
"2M15182262+0200305",7
"2M16413327+3632285",4
"2M13264237-4727404",4
"2M17163393-2811052",2
"2M13263297-4713031",3
"2M19104899-5958032",4
"2M16324155-1302038",1
"2M00230716-7203053",2
"2M13424924+2823523",7
"2M16231885-2634273",1
"2M17164048-2808443",2
"2M18354542-2352285",8
"2M18361712-2357330",4
"2M13261317-4723286",4
"2M13253844-4724017",8
"2M13260647-4732095",4
"2M05241172-2430038",7
